ID; Name (source); Name (display); Description; Frame Length (bytes); Channel Offset (bits); Channel Length (bits); Channel Name (source); Channel Name (display); Channel Data Type; Channel Description; Calibration Function (CHANNELVAL=...); Calibration Function Inverse (USERVAL=...); Unit; Range Min; Range Max; List Name (source); Part-Of-ID; Start Channel; Num Channel; Mirrored TC ID; Group
128; Identification; Identification; Identification details ; 8; 0; 8; NodeType; Node type; UnsignedInteger; CubeComponent node number (For internal use); ; ; Node Type; 0; 0; ; 
 ; ; ; ; ; 48; 1; ImageCaptureSuccess; Image Capture Success; Boolean; Image Capture Success; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 49; 1; DetectionSuccess; Detection Success; Boolean; Detection Success; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 50; 1; IdentificationSuccess; Identification Success; Boolean; Identification Success; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 51; 1; AttitudeSuccess; AttitudeSuccess; Boolean; Attitude Success; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 52; 1; ProcessingTimeError; Processing Tim eError; Boolean; Processing time Error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 53; 1; MaxStarsDetected; Max Stars Detected; Boolean; Max Stars Detected; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 54; 1; LessThanThreeStarsInFoV; Less than three stars in FoV; Boolean; Less than three stars in FoV; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 55; 1; CommsError; Comms error; Boolean; Comms error; ; ; flag; 0; 0; ; ; 0; 0;  
168; TimingSummary; Timing summary; Timing summary; 6; 0; 16; ImageCaptureTime; Image capture time; UnsignedInteger; Image capture time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; DetectionTime; Detection time; UnsignedInteger; Detection time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; IdentificationTime; Identification time; UnsignedInteger; Identification time; ; ; ms; 0; 0; ; ; 0; 0;  
169; BestStarIndex; Index of best stars; Index of best stars; 3; 0; 8; Star1Index; Index of first star; UnsignedInteger; Index of 1st star; ; ; star mumber; 0; 0; ; 
 ; ; ; ; ; 8; 8; Star2Index; Index of second star; UnsignedInteger; Index of second star; ; ; star number; 0; 0; ; 
 ; ; ; ; ; 16; 8; Star3Index; Index of third star; UnsignedInteger; Index of third star; ; ; star number; 0; 0; ; ; 0; 0;  
170; Star1Details; Star 1 vectors; Star 1 vectors; 21; 0; 16; S1CentX; Star 1 centroid X-coordinate; UnsignedInteger; Star 1 centroid X-coordinate; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 16; 16; S1CentY; Star 1 centroid Y-coordinate; UnsignedInteger; Star 1 centroid Y-coordinate; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 32; 16; S1Mag; Star 1 sensor magnitude; UnsignedInteger; Star 1 sensor magnitude; ; ; sum of pixels; 0; 0; ; 
 ; ; ; ; ; 48; 16; S1VBX; Star 1 X-component body vector; SignedInteger; Star 1 X-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 64; 16; S1VBY; Star 1 Y-component body vector; SignedInteger; Star 1 Y-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 80; 16; S1VBZ; Star 1 Z-component body vector; SignedInteger; Star 1 Z-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 96; 16; S1VIX; Star 1 X-component of inertial vector; SignedInteger; Star 1 X-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 112; 16; S1VIY; Star 1 Y-component of inertial vector; SignedInteger; Star 1 Y-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 128; 16; S1VIZ; Star 1 Z-component of inertial vector; SignedInteger; Star 1 Z-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 144; 8; S1Conf; Star 1 confidence; UnsignedInteger; Star 1 confidence; ; ; percentage; 0; 0; ; 
 ; ; ; ; ; 152; 16; S1CatNum; Star 1 catalogue number; UnsignedInteger; Star 1 catalogue number; ; ; Catalogue number; 0; 0; ; ; 0; 0;  
171; Star2Details; Star 2 vectors; Star 2 vectors; 21; 0; 16; S2CentX; Star 2 centroid X-coordinate; UnsignedInteger; Star 2 centroid X-coordinate; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 16; 16; S2CentY; Star 2 centroid Y-coordinate; UnsignedInteger; Star 2 centroid Y-coordinate; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 32; 16; S2Mag; Star 2 sensor magnitude; UnsignedInteger; Star 2 sensor magnitude; ; ; sum of pixels; 0; 0; ; 
 ; ; ; ; ; 48; 16; S2VBX; Star 2 X-component Body vector; SignedInteger; Star 2 X-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 64; 16; S2VBY; Star 2 Y-component Body vector; SignedInteger; Star 2 Y-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 80; 16; S2VBZ; Star 2 Z-component Body vector; SignedInteger; Star 2 Z-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 96; 16; S2VIX; Star 2 X-component of inertial vector; SignedInteger; Star 2 X-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 112; 16; S2VIY; Star 2 Y-component of inertial vector; SignedInteger; Star 2 Y-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 128; 16; S2VIZ; Star 2 Z-component of inertial vector; SignedInteger; Star 2 Z-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 144; 8; S2Conf; Star 2 confidence; UnsignedInteger; Star 2 confidence; ; ; percentage; 0; 0; ; 
 ; ; ; ; ; 152; 16; S2CatNum; Star 2 catalogue number; UnsignedInteger; Star 2 catalogue number; ; ; catalogue number; 0; 0; ; ; 0; 0;  
172; Star3Details; Star 3 vectors; Star 3 Vectors; 21; 0; 16; S3CentX; Star 3 centroid X-coordinate; UnsignedInteger; Star 3 centroid X-coordinate; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 16; 16; S3CentY; Star 3 centroid Y-coordinate; UnsignedInteger; Star 3 centroid Y-coordinate; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 32; 16; S3Mag; Star 3 sensor magnitude; UnsignedInteger; Star 3 sensor magnitude; ; ; sum of pixels; 0; 0; ; 
 ; ; ; ; ; 48; 16; S3VBX; Star 3 X-component Body vector; SignedInteger; Star 3 X-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 64; 16; S3VBY; Star 3 Y-component Body vector; SignedInteger; Star 3 Y-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 80; 16; S3VBZ; Star 3 Z-component Body vector; SignedInteger; Star 3 Z-component body vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 96; 16; S3VIX; Star 3 X-component of inertial vector; SignedInteger; Star 3 X-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 112; 16; S3VIY; Star 3 Y-component of inertial vector; SignedInteger; Star 3 Y-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 128; 16; S3VIZ; Star 3 Z-component of inertial vector; SignedInteger; Star 3 Z-component of inertial vector; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 144; 8; S3Conf; Star 3 confidence; UnsignedInteger; Star 3 confidence; ; ; percentage; 0; 0; ; 
 ; ; ; ; ; 152; 16; S3CatNum; Star 3 catalogue number; UnsignedInteger; Star 3 catalogue number; ; ; Catalogue number; 0; 0; ; ; 0; 0;  
173; DelayTime; Delay Time; Delay timer timeout; 1; 0; 8; Timeout; Timer timeout; UnsignedInteger; Timer timeout value; ; ; timeout; 0; 0; ; ; 0; 0;  
174; LogStatus; Status which can be logged; Status which can be logged; 26; 0; 16; Temp; Temperature; SignedInteger; Temperature; RAWVAL/100.0; USERVAL*100.0; C; 0; 0; ; 
 ; ; ; ; ; 16; 32; Runtime; Runtime; UnsignedInteger; Runtime; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 48; 16; WDGcounter; WDG reset counter; UnsignedInteger; WDG reset Counter; ; ; counter; 0; 0; ; 
 ; ; ; ; ; 64; 8; Status; Status; Enumeration; ; ; ; Status; 0; 39; TaskStatusVal; 
 ; ; ; ; ; 72; 8; SW; Power SW status; UnsignedInteger; Power SW status; ; ; stauts; 0; 0; ; 
 ; ; ; ; ; 80; 16; Current; Current; UnsignedInteger; Current; ; ; mA; 0; 0; ; 
 ; ; ; ; ; 96; 16; MaxCurrent; Max Current; UnsignedInteger; Max Current; ; ; mA; 0; 0; ; 
 ; ; ; ; ; 112; 16; MinCurrent; Min Current; UnsignedInteger; Min Current; ; ; mA; 0; 0; ; 
 ; ; ; ; ; 128; 1; OverCurrent; Over-current; Boolean; An overcurrent condition has been detected; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 129; 1; UnderCurrent; Under-current; Boolean; An under current condition has been detected; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 136; 1; UART_ProtocolError; UART protocol error; Boolean; The UART communication protocol was not followed; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 137; 1; UART_TcmdBufOfError; UART telecommand buffer overflow; Boolean; The UART telecommand buffer can only store 4 telecommands which must be executed at any given time. Normally this buffer will always be empty since the telecommands are processed quickly; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 138; 1; UART_Tcmd_TooManyParm; UART telecommand too many parameter received; Boolean; To many parameters were received for the received telecommand ID.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 139; 1; UART_Tcmd_TooFewParm; UART telecommand too few parameter received; Boolean; The few parameters were received; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 140; 1; UART_MsgIncomplete; UART message incomplete; Boolean; An incomplete message was received; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 141; 1; UART_RXTimeout; UART Rx timeout; Boolean; UART Rx timeout; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 144; 1; I2C_WaitForIDReadRequestError; I2C wait for ID read request error; Boolean; When the I2C is in an idle state it is waiting for a new ID it should not receive a read request, but a write request followed by a repeated start as per the I2C protocol; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 145; 1; I2C_TcmdBufOFError; I2C TCMD buffer overflow; Boolean; The I2C telecommand buffer can only store 4 telecommands which must be executed at any given time. Normally this buffer will always be empty since the telecommands are processed quickly; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 146; 1; I2C_TCMD_TooFewParm; I2C TCMD too few parmeters received; Boolean; The amount of received parameters are to view for the command ID received.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 147; 1; I2C_TCMD_TooManyparm; I2C TCMD too many paramters received; Boolean; The amount of received parameters are to many for the command ID received.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 152; 1; SPICommsError; SPI comms error; Boolean; An SPI communication error occurred between the MCU and the image sensor.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 153; 1; StatusError; Status error; Boolean; Image sensor state error received.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 154; 1; ISsetupError; Image sensor setup error; Boolean; Error encountered during image sensor setup.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 155; 1; TestpatternConfigError; Test pattern configuration error; Boolean; Error occurred while configuring the image sensor for test pattern output.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 156; 1; ImageCaptureError; Image capture error; Boolean; An error occurred while an image was being captured.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 157; 1; ISDisableError; Disable image sensor error; Boolean; Error occurred while attempting to disable the image sensor.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 158; 1; ConfigChangeError; Configuration change error; Boolean; An error occurred while the image sensor configuration was being changed.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 159; 1; ISEnableError; Enable image sensor error; Boolean; An error occurred while the image sensor was being enabled.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 160; 1; FocalLengthRangeError; Focal length range error; Boolean; The new focal length value is too small or to large; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 161; 1; BoresightRangeError; Boresight range error; Boolean; The new values for the boresight is too small or to large; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 168; 1; ImageBlockSizeError; Image Block Size Error; Boolean; The size for the image block specified is invalid.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 169; 1; MainLoopTimeError; Main operating loop over time; Boolean; The main loop took longer than one second to execute. ; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 170; 1; TcmdIDError; Telecommand ID error; Boolean; An unknown telecommand ID was received; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 171; 1; TlmIDError; Telemetry ID error ; Boolean; An unknown telemetry ID was received; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 172; 1; TriggerAlreadySet; Capture and Process trigger flag is already set; Boolean; The capture and process command was received twice and the first capture and process command has not been executed; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 173; 1; TimerAlreadyRunning; Timer already running; Boolean; Attempt was made to start image capture timer, but it was already running; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 174; 1; TimerTimeSetToLong; Timer timeout set to long; Boolean; Attempt was made to set timeout of timer for longer than one second. ; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 176; 1; PixSetError; Pixels set error; Boolean; Attempt was made to set an invalid min or max pixel value; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 177; 1; MaxStarsSetError; Max stars set error; Boolean; Attempt was made to set an invalid max centroids amount; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 178; 1; MaxStarsDetection; Max stars detected error; Boolean; More than the max number of stars could be detected; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 179; 1; MaxInvalidStarsDetectionError; Maximum invalid stars detection error; Boolean; Max invalid stars were found (Bright object in FoV); ; ; flag; 0; 0; ; 
 ; ; ; ; ; 180; 1; CentroidingGridSizeSetError; Invalid centroiding grid size set error; Boolean; Attempt was made to set an invalid grid size value; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 181; 1; ValidImageRangeSetError; Range Set Error; Boolean; Search Range error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 182; 1; MaxNoiseSetError; Max noise set error; Boolean; Attempt was made to set an invalid max noise value.; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 183; 1; MaxNoiseDetected; Max noise detected in Image; Boolean; The maximum allowable amount of noise has been detected in the image. Resets for each image captured and detection performed. ; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 184; 1; SetIDModeError; Invalid ID mode set ; Boolean; Invalid ID mode set ; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 185; 1; IDModeError; Invalaid ID mode; Boolean; Invalaid ID mode; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 186; 1; ReducedIDListSizeError; Reduced ID list size error; Boolean; Reduced ID list size error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 187; 1; LessThanThreeStarsInFoV; Less than three stars in FoV; Boolean; Less than three stars in catalogue for given attitude; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 188; 1; LessThanThreeStarsDetected; less than three stars detected; Boolean; less than three stars Detected; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 189; 1; LessThanThreeStarsID; Less than three stars ID; Boolean; Less than three stars ID; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 190; 1; IDError; ID error; Boolean; IDError; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 191; 1; IDSearchError; ID search error; Boolean; ID search error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 192; 1; DeclinationSetError; Declination set error; Boolean; Attempt was made to set an invalid declination value; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 193; 1; RightAscensionSetError; Right Ascension set error; Boolean; Attempt was made to set an invalid right ascension value; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 194; 1; QuestindexError; Quest index id star mismatch error; Boolean; Set when the Quest algorithm receives invalid data; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 195; 1; RateExceeded; Maximum change in atttitude between sequential readings were exceeded; Boolean; Maximum change in atttitude between sequential readings were exceeded; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 200; 1; FlashInvalidAreaError; Flash invalid area error; Boolean; Flash invalid area error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 201; 1; FlashLockedError; Flash locked error; Boolean; Flash locked error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 202; 1; FlashTimeoutError; Flash timeout error; Boolean; Flash timeout error; ; ; flag; 0; 0; ; 
 ; ; ; ; ; 203; 1; FlashUnalignedError; Flash unaligned error; Boolean; Flash unaligned error; ; ; flag; 0; 0; ; ; 0; 0;  
175; Results; Results of important counter; Results of important counter; 6; 0; 8; DarkValue; Image dark value; UnsignedInteger; Image dark value; ; ; pixel value; 0; 0; ; 
 ; ; ; ; ; 8; 8; Detected; Number of stars detected; UnsignedInteger; Number of strars detected; ; ; stars; 0; 0; ; 
 ; ; ; ; ; 16; 8; Invalid; Number of invalid stars detected; UnsignedInteger; Number of invalid stars detected; ; ; invalid stars; 0; 0; ; 
 ; ; ; ; ; 24; 8; Noise; Amount of noise detected; UnsignedInteger; Amount of Noise detected; ; ; noise; 0; 0; ; 
 ; ; ; ; ; 32; 8; IDMode; ID mode; UnsignedInteger; ID mode; ; ; IDmode; 0; 0; ; 
 ; ; ; ; ; 40; 8; ID; Number of stars identified; UnsignedInteger; Number of stars identified; ; ; stars; 0; 0; ; ; 0; 0;  
176; StarDetails; Star details; Star details; 22; 0; 8; StarNumber; Star number; UnsignedInteger; Star Number; ; ; star mumber; 0; 0; ; 
 ; ; ; ; ; 8; 32; CCx; Corrected centroid x-axis; FloatingPoint; Corrected centroid x-axis; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 40; 32; CCy; Corrected centroid y-axis; FloatingPoint; Corrected centroid y-axis; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 72; 16; Vbx; Body vector x component; SignedInteger; Body vector x component; ; ; unit vector component; -1; 1; ; 
 ; ; ; ; ; 88; 16; Vby; Body vector y component; SignedInteger; Body vector y component; ; ; unit vector component; -1; 1; ; 
 ; ; ; ; ; 104; 16; Vbz; Body vector z component; SignedInteger; Body vector z component; ; ; unit vector component; -1; 1; ; 
 ; ; ; ; ; 120; 16; ID; Star ID; UnsignedInteger; Star ID; ; ; catalogue ID; 0; 0; ; 
 ; ; ; ; ; 136; 8; ValidationVote; Validation vote; UnsignedInteger; validation vote; ; ; votes; 0; 0; ; 
 ; ; ; ; ; 144; 32; confidance; confidance; FloatingPoint; confidance; ; ; percentage; 0; 0; ; ; 0; 0;  
177; AttitudeData; All attitude data; All attitude data; 18; 0; 16; Qbar0; Q0; SignedInteger; Q0; RAWVAL/10000.0; USERVAL*10000.0; ; -1; 1; ; 
 ; ; ; ; ; 16; 16; Qbar1; Q1; SignedInteger; Q1; RAWVAL/10000.0; USERVAL*10000.0; ; -1; 1; ; 
 ; ; ; ; ; 32; 16; Qbar2; Q2; SignedInteger; Q2; RAWVAL/10000.0; USERVAL*10000.0; ; -1; 1; ; 
 ; ; ; ; ; 48; 16; Qbar3; Q3; SignedInteger; Q3; RAWVAL/10000.0; USERVAL*10000.0; ; -1; 1; ; 
 ; ; ; ; ; 64; 16; RightAscension; Right Ascension; SignedInteger; Right Ascension; RAWVAL/10000.0; USERVAL*10000.0; radians; 0; 0; ; 
 ; ; ; ; ; 80; 16; Declination; Declination; SignedInteger; Declination; RAWVAL/10000.0; USERVAL*10000.0; radians; 0; 0; ; 
 ; ; ; ; ; 96; 16; BSVX; Boresight vector X-component; SignedInteger; Boresight vector X-component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 112; 16; BSVY; Boresight vectore Y-component; SignedInteger; Boresight vectore Y-component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 128; 16; BSVZ; Boresight vector Z-Component; SignedInteger; Boresight vector Z-Component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; ; 0; 0;  
